                   ¹               t_otn                   U                   V                   R                 Phi               Psi_U               Psi_V               Psi_R             Psi_Phi                   H                Teta           Teta_grad               t_abs
                  77               0.077          2548.46104         29917.05564     1.528779381e+11        0.5343973626         617.4848793         609.7682632      0.000205995344                   0     2.296274282e-10       -0.2713494417        -15.54717781         2684505.923
                  78               0.078         2584.245497          29907.8349     1.529674107e+11        0.5412168908         614.4433573         601.7214497     0.0002054582371                   0     2.293671919e-10       -0.2697730871        -15.45685934         2719369.637
                  79               0.079         2620.019313         29898.33658     1.530581308e+11        0.5480302709         611.3621325         593.7239001     0.0002049237739                   0     2.290980738e-10       -0.2681977576        -15.36659961          2754233.35
                  80                0.08         2655.779464         29888.56137     1.531500978e+11        0.5548373916         608.2414817         585.7761082     0.0002043920128                   0     2.288196299e-10       -0.2666235831        -15.27640605         2789097.063
                  81               0.081         2691.522934         29878.50997     1.532433112e+11        0.5616381422         605.0816849         577.8785611     0.0002038630115                   0     2.285338585e-10       -0.2650506964        -15.18628628         2823960.776
                  82               0.082         2727.246719         29868.18315     1.533377705e+11        0.5684324123         601.8830257         570.0317392     0.0002033368265                   0     2.282409817e-10        -0.263479234        -15.09624812          2858824.49
                  83               0.083         2762.947827         29857.58171     1.534334749e+11        0.5752200923         598.6457908          562.236116     0.0002028135139                   0     2.279385569e-10       -0.2619093362         -15.0062996         2893688.203
                  84               0.084         2798.623277         29846.70647     1.535304235e+11        0.5820010731           595.37027         554.4921585     0.0002022931288                   0     2.276294708e-10       -0.2603411466        -14.91644895         2928551.916
                  85               0.085         2834.270098         29835.55832     1.536286153e+11        0.5887752461         592.0567561         546.8003268     0.0002017757254                   0     2.273135014e-10       -0.2587748128        -14.82670464          2963415.63
                  86               0.086         2869.885335         29824.13814     1.537280495e+11        0.5955425034         588.7055452          539.161074     0.0002012613571                   0     2.269902044e-10       -0.2572104865        -14.73707535         2998279.343
                  87               0.087         2905.466045         29812.44689     1.538287247e+11        0.6023027379         585.3169359         531.5748463     0.0002007500764                   0     2.266593579e-10       -0.2556483234        -14.64756999         3033143.056
                  88               0.088         2941.009299         29800.48556     1.539306397e+11        0.6090558428         581.8912301          524.042083     0.0002002419349                   0      2.26321184e-10       -0.2540884832        -14.55819773          3068006.77
                  89               0.089         2976.512183         29788.25514     1.540337932e+11        0.6158017122         578.4287321         516.5632165     0.0001997369835                   0     2.259765708e-10       -0.2525311304        -14.46896799         3102870.483
                  90                0.09         3011.971797         29775.75671     1.541381837e+11        0.6225402408         574.9297492         509.1386718      0.000199235272                   0      2.25623964e-10       -0.2509764336        -14.37989043         3137734.196
                  91               0.091         3047.385258         29762.99134     1.542438097e+11        0.6292713242         571.3945911         501.7688673     0.0001987368494                   0      2.25265584e-10       -0.2494245665        -14.29097499         3172597.909
                  92               0.092         3082.749699         29749.96017     1.543506695e+11        0.6359948584         567.8235702         494.4542138     0.0001982417637                   0     2.249000985e-10       -0.2478757074         -14.2022319         3207461.623
                  93               0.093         3118.062268         29736.66435     1.544587613e+11        0.6427107403         564.2170013         487.1951153     0.0001977500621                   0     2.245292841e-10       -0.2463300397        -14.11367166         3242325.336
                  94               0.094         3153.320133         29723.10508     1.545680833e+11        0.6494188676         560.5752016         479.9919686     0.0001972617909                   0     2.241520303e-10       -0.2447877521        -14.02530509         3277189.049
                  95               0.095         3188.520478         29709.28359     1.546786335e+11        0.6561191385         556.8984908          472.845163     0.0001967769953                   0     2.237678931e-10       -0.2432490387        -13.93714331         3312052.763
                  96               0.096         3223.660504         29695.20114     1.547904099e+11        0.6628114523         553.1871905          465.755081     0.0001962957198                   0     2.233768726e-10       -0.2417140993        -13.84919776         3346916.476
                  97               0.097         3258.737434         29680.85905     1.549034103e+11        0.6694957089         549.4416248         458.7220975     0.0001958180077                   0     2.229811891e-10       -0.2401831393        -13.76148022         3381780.189
                  98               0.098         3293.748508         29666.25864     1.550176325e+11         0.676171809         545.6621198         451.7465803     0.0001953439016                   0     2.225801765e-10       -0.2386563707        -13.67400281         3416643.902
                  99               0.099         3328.690987         29651.40128     1.551330742e+11        0.6828396542         541.8490034         444.8288898      0.000194873443                   0     2.221725026e-10       -0.2371340113        -13.58677805         3451507.616
                 100                 0.1          3363.56215         29636.28838     1.552497328e+11        0.6894991468         538.0026057         437.9693793     0.0001944066726                   0     2.217603878e-10       -0.2356162858        -13.49981878         3486371.329
                 101               0.101           3398.3593         29620.92138     1.553676058e+11        0.6961501901         534.1232585         431.1683946     0.0001939436299                   0      2.21342944e-10       -0.2341034258        -13.41313829         3521235.042
                 102               0.102         3433.079758         29605.30173     1.554866907e+11         0.702792688         530.2112955         424.4262741     0.0001934843538                   0      2.20919727e-10         -0.23259567        -13.32675024         3556098.756
                 103               0.103         3467.720869         29589.43095     1.556069847e+11        0.7094265457          526.267052         417.7433491     0.0001930288819                   0     2.204909588e-10       -0.2310932644        -13.24066875         3590962.469
                 104               0.104         3502.279997         29573.31058      1.55728485e+11        0.7160516688          522.290865         411.1199434      0.000192577251                   0      2.20058638e-10       -0.2295964631        -13.15490835         3625826.182
                 105               0.105         3536.754533         29556.94218     1.558511887e+11         0.722667964         518.2830729         404.5563734     0.0001921294969                   0      2.19620544e-10       -0.2281055281        -13.06948406         3660689.895
                 106               0.106         3571.141886         29540.32735     1.559750928e+11        0.7292753391         514.2440156         398.0529482     0.0001916856544                   0     2.191766768e-10       -0.2266207298        -12.98441139         3695553.609
                 107               0.107         3605.439491         29523.46774     1.561001942e+11        0.7358737025         510.1740346         391.6099695     0.0001912457576                   0     2.187285908e-10       -0.2251423478        -12.89970634         3730417.322
                 108               0.108         3639.644807         29506.36499     1.562264897e+11        0.7424629636         506.0734725         385.2277317     0.0001908098392                   0     2.182749537e-10       -0.2236706708        -12.81538546         3765281.035
                 109               0.109         3673.755315         29489.02082     1.563539762e+11        0.7490430328         501.9426731         378.9065219     0.0001903779312                   0     2.178182079e-10        -0.222205997        -12.73146583         3800144.749
                 110                0.11         3707.768522         29471.43694     1.564826501e+11        0.7556138216         497.7819815         372.6466196     0.0001899500647                   0      2.17355467e-10        -0.220748635        -12.64796514         3835008.462
                 111               0.111         3741.681959         29453.61513     1.566125082e+11        0.7621752421         493.5917437         366.4482971     0.0001895262695                   0     2.168887292e-10        -0.219298904        -12.56490167         3869872.175
                 112               0.112         3775.493182         29435.55717     1.567435468e+11        0.7687272077         489.3723068         360.3118195     0.0001891065749                   0     2.164179946e-10       -0.2178571342        -12.48229435         3904735.888
                 113               0.113         3809.199774         29417.26488     1.568757624e+11        0.7752696325         485.1240189         354.2374442     0.0001886910089                   0     2.159432633e-10       -0.2164236677        -12.40016276         3939599.602
                 114               0.114         3842.799341         29398.74011     1.570091512e+11        0.7818024319         480.8472287         348.2254217     0.0001882795986                   0     2.154632028e-10       -0.2149988586        -12.31852721         3974463.315
                 115               0.115         3876.289517         29379.98476     1.571437096e+11         0.788325522          476.542286         342.2759949     0.0001878723702                   0     2.149793676e-10        -0.213583074        -12.23740873         4009327.028
                 116               0.116         3909.667962         29361.00073     1.572794336e+11        0.7948388202         472.2095409         336.3893994      0.000187469349                   0     2.144906475e-10       -0.2121766945        -12.15682912         4044190.742
                 117               0.117         3942.932363         29341.78996     1.574163194e+11        0.8013422447         467.8493444         330.5658638     0.0001870705591                   0     2.139985966e-10       -0.2107801149        -12.07681101         4079054.455
                 118               0.118         3976.080432         29322.35443     1.575543628e+11        0.8078357147         463.4620479         324.8056092     0.0001866760239                   0     2.135012167e-10        -0.209393745        -11.99737786         4113918.168
                 119               0.119          4009.10991         29302.69614     1.576935599e+11        0.8143191507         459.0480034         319.1088495     0.0001862857658                   0       2.1299984e-10       -0.2080180103        -11.91855407         4148781.881
                 120                0.12         4042.018565         29282.81713     1.578339063e+11         0.820792474         454.6075632         313.4757915     0.0001858998062                   0     2.124942444e-10       -0.2066533528        -11.84036495         4183645.595
                 121               0.121         4074.804193         29262.71945      1.57975398e+11         0.827255607         450.1410799         307.9066346     0.0001855181655                   0     2.119839859e-10       -0.2053002319        -11.76283684         4218509.308
                 122               0.122         4107.464616          29242.4052     1.581180305e+11        0.8337084732         445.6489063         302.4015714     0.0001851408635                   0     2.114695086e-10       -0.2039591257        -11.68599712         4253373.021
                 123               0.123         4139.997685         29221.87651     1.582617994e+11        0.8401509973         441.1313954         296.9607869     0.0001847679185                   0     2.109508124e-10       -0.2026305315        -11.60987428         4288236.735
                 124               0.124         4172.401281         29201.13551     1.584067004e+11        0.8465831048         436.5889005         291.5844595     0.0001843993484                   0     2.104274532e-10       -0.2013149672        -11.53449799         4323100.448
                 125               0.125          4204.67331         29180.18439     1.585527287e+11        0.8530047224         432.0217747         286.2727601       0.00018403517                   0     2.098992091e-10       -0.2000129724        -11.45989918         4357964.161
                 126               0.126         4236.811707         29159.02536     1.586998799e+11        0.8594157781         427.4303711         281.0258529      0.000183675399                   0       2.0936608e-10       -0.1987251096        -11.38611008         4392827.875
                 127               0.127         4268.814439         29137.66066     1.588481491e+11        0.8658162008         422.8150427         275.8438948     0.0001833200505                   0       2.0882851e-10       -0.1974519656         -11.3131643         4427691.588
                 128               0.128         4300.679497         29116.09256     1.589975317e+11        0.8722059204         418.1761423          270.727036     0.0001829691386                   0      2.08285611e-10       -0.1961941529        -11.24109695         4462555.301
                 129               0.129         4332.404904         29094.32335     1.591480228e+11        0.8785848681         413.5140226         265.6754196     0.0001826226763                   0     2.077376049e-10       -0.1949523115        -11.16994467         4497419.014
